precipitacao_mm_dia,umidade_especifica_2m_g_kg,umidade_relativa_2m_pct,temperatura_2m_c,cultura,indice_original,grupo_climatico,modelo,rendimento_real,rendimento_previsto,erro_absoluto
2061.61,17.8,84.36,25.88,"Rubber, natural",125,8,Regressão Linear,8604,4281.087706719292,4322.912293280708
2302.99,18.22,84.48,26.25,"Rubber, natural",138,21,Regressão Linear,6597,6906.810939937939,309.8109399379391
2692.34,18.37,85.54,26.18,"Rubber, natural",139,22,Regressão Linear,7435,7421.461044400901,13.5389555990987
2729.53,18.41,86.03,26.11,"Rubber, natural",143,26,Regressão Linear,9612,7133.416555594318,2478.583444405682
2546.33,18.43,84.23,26.49,"Rubber, natural",146,29,Regressão Linear,9205,10981.692275384674,1776.6922753846738
2938.29,18.22,85.42,26.06,"Rubber, natural",147,30,Regressão Linear,9701,10187.383657642524,486.38365764252376
2771.73,18.38,84.98,26.3,"Rubber, natural",148,31,Regressão Linear,8865,10082.444973512087,1217.444973512087
2308.51,18.27,83.65,26.47,"Rubber, natural",151,34,Regressão Linear,6721,9036.922606311608,2315.9226063116075
2592.35,17.61,85.07,25.56,"Cocoa, beans",3,3,Ridge,9321,8981.018383986171,339.9816160138289
2061.61,17.8,84.36,25.88,"Cocoa, beans",8,8,Ridge,9201,6136.7224911382,3064.2775088618
2302.99,18.22,84.48,26.25,"Cocoa, beans",21,21,Ridge,9801,9183.198280773548,617.8017192264524
2692.34,18.37,85.54,26.18,"Cocoa, beans",22,22,Ridge,7965,10743.985667094697,2778.9856670946974
2729.53,18.41,86.03,26.11,"Cocoa, beans",26,26,Ridge,12362,10042.803161171192,2319.196838828808
2546.33,18.43,84.23,26.49,"Cocoa, beans",29,29,Ridge,7795,12574.835955869981,4779.835955869981
2938.29,18.22,85.42,26.06,"Cocoa, beans",30,30,Ridge,10737,12950.30532090881,2213.3053209088102
2771.73,18.38,84.98,26.3,"Cocoa, beans",31,31,Ridge,7979,12819.697217327084,4840.697217327084
2308.51,18.27,83.65,26.47,"Cocoa, beans",34,34,Ridge,11108,11303.831070967353,195.8310709673533
2592.35,17.61,85.07,25.56,Oil palm fruit,42,3,Ridge,181826,169097.43773882487,12728.562261175131
2061.61,17.8,84.36,25.88,Oil palm fruit,47,8,Ridge,183004,166253.14184597688,16750.858154023124
2302.99,18.22,84.48,26.25,Oil palm fruit,60,21,Ridge,162240,169299.6176356122,7059.617635612201
2692.34,18.37,85.54,26.18,Oil palm fruit,61,22,Ridge,175629,170860.40502193337,4768.594978066627
2729.53,18.41,86.03,26.11,Oil palm fruit,65,26,Ridge,183544,170159.22251600988,13384.777483990125
2546.33,18.43,84.23,26.49,Oil palm fruit,68,29,Ridge,171189,172691.25531070866,1502.255310708657
2938.29,18.22,85.42,26.06,Oil palm fruit,69,30,Ridge,185831,173066.72467574748,12764.275324252521
2771.73,18.38,84.98,26.3,Oil palm fruit,70,31,Ridge,186959,172936.11657216575,14022.883427834255
2308.51,18.27,83.65,26.47,Oil palm fruit,73,34,Ridge,202379,171420.25042580604,30958.749574193964
2592.35,17.61,85.07,25.56,"Rice, paddy",81,3,Ridge,25187,31142.115158179706,5955.115158179706
2061.61,17.8,84.36,25.88,"Rice, paddy",86,8,Ridge,26251,28297.81926533174,2046.8192653317383
2302.99,18.22,84.48,26.25,"Rice, paddy",99,21,Ridge,32385,31344.29505496707,1040.7049450329287
2692.34,18.37,85.54,26.18,"Rice, paddy",100,22,Ridge,33596,32905.08244128823,690.9175587117716
2729.53,18.41,86.03,26.11,"Rice, paddy",104,26,Ridge,35277,32203.899935364723,3073.100064635277
2546.33,18.43,84.23,26.49,"Rice, paddy",107,29,Ridge,36361,34735.93273006352,1625.0672699364804
2938.29,18.22,85.42,26.06,"Rice, paddy",108,30,Ridge,37468,35111.40209510234,2356.5979048976587
2771.73,18.38,84.98,26.3,"Rice, paddy",109,31,Ridge,37972,34980.79399152062,2991.2060084793775
2308.51,18.27,83.65,26.47,"Rice, paddy",112,34,Ridge,40223,33464.92784516088,6758.072154839123
2592.35,17.61,85.07,25.56,"Rubber, natural",120,3,Ridge,9718,7966.17967430874,1751.8203256912602
2061.61,17.8,84.36,25.88,"Rubber, natural",125,8,Ridge,8604,5121.883781460776,3482.116218539224
2302.99,18.22,84.48,26.25,"Rubber, natural",138,21,Ridge,6597,8168.359571096109,1571.359571096109
2692.34,18.37,85.54,26.18,"Rubber, natural",139,22,Ridge,7435,9729.146957417273,2294.1469574172734
2729.53,18.41,86.03,26.11,"Rubber, natural",143,26,Ridge,9612,9027.96445149376,584.0355485062391
2546.33,18.43,84.23,26.49,"Rubber, natural",146,29,Ridge,9205,11559.99724619255,2354.99724619255
2938.29,18.22,85.42,26.06,"Rubber, natural",147,30,Ridge,9701,11935.466611231379,2234.466611231379
2771.73,18.38,84.98,26.3,"Rubber, natural",148,31,Ridge,8865,11804.858507649653,2939.858507649653
2308.51,18.27,83.65,26.47,"Rubber, natural",151,34,Ridge,6721,10288.992361289915,3567.9923612899147
2592.35,17.61,85.07,25.56,"Cocoa, beans",3,3,Random Forest,9321,9145.929573696143,175.07042630385695
2061.61,17.8,84.36,25.88,"Cocoa, beans",8,8,Random Forest,9201,9577.68172675737,376.6817267573697
2302.99,18.22,84.48,26.25,"Cocoa, beans",21,21,Random Forest,9801,7877.019010204083,1923.9809897959167
2692.34,18.37,85.54,26.18,"Cocoa, beans",22,22,Random Forest,7965,7890.805369614506,74.19463038549384
2729.53,18.41,86.03,26.11,"Cocoa, beans",26,26,Random Forest,12362,9543.147088435371,2818.852911564629
2546.33,18.43,84.23,26.49,"Cocoa, beans",29,29,Random Forest,7795,8252.3616632653,457.3616632652993
2938.29,18.22,85.42,26.06,"Cocoa, beans",30,30,Random Forest,10737,8192.560013605438,2544.439986394562
2771.73,18.38,84.98,26.3,"Cocoa, beans",31,31,Random Forest,7979,8426.95770068027,447.95770068027014
2308.51,18.27,83.65,26.47,"Cocoa, beans",34,34,Random Forest,11108,8368.44001360544,2739.559986394561
2592.35,17.61,85.07,25.56,Oil palm fruit,42,3,Random Forest,181826,175634.18938548755,6191.8106145124475
2061.61,17.8,84.36,25.88,Oil palm fruit,47,8,Random Forest,183004,166803.48797619046,16200.51202380954
2302.99,18.22,84.48,26.25,Oil palm fruit,60,21,Random Forest,162240,164791.4192210885,2551.419221088494
2692.34,18.37,85.54,26.18,Oil palm fruit,61,22,Random Forest,175629,175959.82337291274,330.8233729127387
2729.53,18.41,86.03,26.11,Oil palm fruit,65,26,Random Forest,183544,170263.51735930736,13280.482640692644
2546.33,18.43,84.23,26.49,Oil palm fruit,68,29,Random Forest,171189,178430.80900340134,7241.809003401344
2938.29,18.22,85.42,26.06,Oil palm fruit,69,30,Random Forest,185831,177511.70173356013,8319.298266439873
2771.73,18.38,84.98,26.3,Oil palm fruit,70,31,Random Forest,186959,181970.9334625851,4988.06653741491
2308.51,18.27,83.65,26.47,Oil palm fruit,73,34,Random Forest,202379,175606.4078594104,26772.592140589608
2592.35,17.61,85.07,25.56,"Rice, paddy",81,3,Random Forest,25187,27208.320056689365,2021.3200566893647
2061.61,17.8,84.36,25.88,"Rice, paddy",86,8,Random Forest,26251,27991.37086054422,1740.3708605442189
2302.99,18.22,84.48,26.25,"Rice, paddy",99,21,Random Forest,32385,30084.490166666674,2300.5098333333262
2692.34,18.37,85.54,26.18,"Rice, paddy",100,22,Random Forest,33596,34342.03226180171,746.032261801709
2729.53,18.41,86.03,26.11,"Rice, paddy",104,26,Random Forest,35277,32738.42568594108,2538.5743140589184
2546.33,18.43,84.23,26.49,"Rice, paddy",107,29,Random Forest,36361,36081.05844774274,279.9415522572599
2938.29,18.22,85.42,26.06,"Rice, paddy",108,30,Random Forest,37468,29047.068479591842,8420.931520408158
2771.73,18.38,84.98,26.3,"Rice, paddy",109,31,Random Forest,37972,34494.08054524841,3477.919454751587
2308.51,18.27,83.65,26.47,"Rice, paddy",112,34,Random Forest,40223,31394.010013605443,8828.989986394557
2592.35,17.61,85.07,25.56,"Rubber, natural",120,3,Random Forest,9718,9303.899959183671,414.10004081632906
2061.61,17.8,84.36,25.88,"Rubber, natural",125,8,Random Forest,8604,9390.62716893424,786.6271689342393
2302.99,18.22,84.48,26.25,"Rubber, natural",138,21,Random Forest,6597,7280.332064625853,683.3320646258526
2692.34,18.37,85.54,26.18,"Rubber, natural",139,22,Random Forest,7435,7676.724331065754,241.7243310657541
2729.53,18.41,86.03,26.11,"Rubber, natural",143,26,Random Forest,9612,7998.785045351477,1613.2149546485234
2546.33,18.43,84.23,26.49,"Rubber, natural",146,29,Random Forest,9205,6635.432227891158,2569.5677721088423
2938.29,18.22,85.42,26.06,"Rubber, natural",147,30,Random Forest,9701,7571.490439909301,2129.509560090699
2771.73,18.38,84.98,26.3,"Rubber, natural",148,31,Random Forest,8865,8019.938780045352,845.0612199546476
2308.51,18.27,83.65,26.47,"Rubber, natural",151,34,Random Forest,6721,7101.347795918369,380.34779591836923
2592.35,17.61,85.07,25.56,"Cocoa, beans",3,3,Gradient Boosting,9321,9443.177988836369,122.17798883636897
2061.61,17.8,84.36,25.88,"Cocoa, beans",8,8,Gradient Boosting,9201,8701.380648599406,499.6193514005936
2302.99,18.22,84.48,26.25,"Cocoa, beans",21,21,Gradient Boosting,9801,7610.621259193173,2190.3787408068274
2692.34,18.37,85.54,26.18,"Cocoa, beans",22,22,Gradient Boosting,7965,8178.701574140502,213.7015741405021
2729.53,18.41,86.03,26.11,"Cocoa, beans",26,26,Gradient Boosting,12362,8215.986639019808,4146.013360980192
2546.33,18.43,84.23,26.49,"Cocoa, beans",29,29,Gradient Boosting,7795,8558.24377975443,763.2437797544299
2938.29,18.22,85.42,26.06,"Cocoa, beans",30,30,Gradient Boosting,10737,8905.708984056737,1831.2910159432631
2771.73,18.38,84.98,26.3,"Cocoa, beans",31,31,Gradient Boosting,7979,8811.841170376356,832.8411703763559
2308.51,18.27,83.65,26.47,"Cocoa, beans",34,34,Gradient Boosting,11108,8909.389833606125,2198.6101663938753
2592.35,17.61,85.07,25.56,Oil palm fruit,42,3,Gradient Boosting,181826,177970.31246902392,3855.68753097608
2061.61,17.8,84.36,25.88,Oil palm fruit,47,8,Gradient Boosting,183004,160615.47132246837,22388.528677531634
2302.99,18.22,84.48,26.25,Oil palm fruit,60,21,Gradient Boosting,162240,159710.42967744518,2529.5703225548205
2692.34,18.37,85.54,26.18,Oil palm fruit,61,22,Gradient Boosting,175629,171177.82108150455,4451.178918495454
2729.53,18.41,86.03,26.11,Oil palm fruit,65,26,Gradient Boosting,183544,167302.22599778144,16241.77400221856
2546.33,18.43,84.23,26.49,Oil palm fruit,68,29,Gradient Boosting,171189,187309.364909138,16120.364909138007
2938.29,18.22,85.42,26.06,Oil palm fruit,69,30,Gradient Boosting,185831,178776.03705294617,7054.962947053835
2771.73,18.38,84.98,26.3,Oil palm fruit,70,31,Gradient Boosting,186959,184294.46808072235,2664.5319192776515
2308.51,18.27,83.65,26.47,Oil palm fruit,73,34,Gradient Boosting,202379,184557.36481886992,17821.635181130085
2592.35,17.61,85.07,25.56,"Rice, paddy",81,3,Gradient Boosting,25187,27848.20691901787,2661.20691901787
2061.61,17.8,84.36,25.88,"Rice, paddy",86,8,Gradient Boosting,26251,27277.163316098864,1026.163316098864
2302.99,18.22,84.48,26.25,"Rice, paddy",99,21,Gradient Boosting,32385,30362.828088864386,2022.1719111356142
2692.34,18.37,85.54,26.18,"Rice, paddy",100,22,Gradient Boosting,33596,33731.06892909803,135.0689290980299
2729.53,18.41,86.03,26.11,"Rice, paddy",104,26,Gradient Boosting,35277,32992.339923351356,2284.6600766486445
2546.33,18.43,84.23,26.49,"Rice, paddy",107,29,Gradient Boosting,36361,37289.09613077852,928.0961307785183
2938.29,18.22,85.42,26.06,"Rice, paddy",108,30,Gradient Boosting,37468,30274.623725687918,7193.376274312082
2771.73,18.38,84.98,26.3,"Rice, paddy",109,31,Gradient Boosting,37972,34753.5858386788,3218.4141613211978
2308.51,18.27,83.65,26.47,"Rice, paddy",112,34,Gradient Boosting,40223,33408.1366975452,6814.8633024548035
2592.35,17.61,85.07,25.56,"Rubber, natural",120,3,Gradient Boosting,9718,8961.938491920106,756.0615080798943
2061.61,17.8,84.36,25.88,"Rubber, natural",125,8,Gradient Boosting,8604,8315.463927649467,288.5360723505328
2302.99,18.22,84.48,26.25,"Rubber, natural",138,21,Gradient Boosting,6597,6996.997784744242,399.9977847442424
2692.34,18.37,85.54,26.18,"Rubber, natural",139,22,Gradient Boosting,7435,7176.854276381668,258.14572361833234
2729.53,18.41,86.03,26.11,"Rubber, natural",143,26,Gradient Boosting,9612,6976.421942999114,2635.5780570008856
2546.33,18.43,84.23,26.49,"Rubber, natural",146,29,Gradient Boosting,9205,7468.100460197254,1736.8995398027464
2938.29,18.22,85.42,26.06,"Rubber, natural",147,30,Gradient Boosting,9701,7314.027089857869,2386.972910142131
2771.73,18.38,84.98,26.3,"Rubber, natural",148,31,Gradient Boosting,8865,7770.995382341704,1094.0046176582964
2308.51,18.27,83.65,26.47,"Rubber, natural",151,34,Gradient Boosting,6721,7147.75781243126,426.7578124312604
2592.35,17.61,85.07,25.56,"Cocoa, beans",3,3,Extra Trees,9321,8705.60252380953,615.3974761904701
2061.61,17.8,84.36,25.88,"Cocoa, beans",8,8,Extra Trees,9201,8473.207931972787,727.7920680272127
2302.99,18.22,84.48,26.25,"Cocoa, beans",21,21,Extra Trees,9801,7814.49319727891,1986.50680272109
2692.34,18.37,85.54,26.18,"Cocoa, beans",22,22,Extra Trees,7965,8398.776061224491,433.77606122449106
2729.53,18.41,86.03,26.11,"Cocoa, beans",26,26,Extra Trees,12362,9368.701476190468,2993.2985238095316
2546.33,18.43,84.23,26.49,"Cocoa, beans",29,29,Extra Trees,7795,8255.899619047617,460.8996190476173
2938.29,18.22,85.42,26.06,"Cocoa, beans",30,30,Extra Trees,10737,8590.505088435373,2146.494911564627
2771.73,18.38,84.98,26.3,"Cocoa, beans",31,31,Extra Trees,7979,8318.991904761902,339.99190476190233
2308.51,18.27,83.65,26.47,"Cocoa, beans",34,34,Extra Trees,11108,8496.020931972791,2611.979068027209
2592.35,17.61,85.07,25.56,Oil palm fruit,42,3,Extra Trees,181826,174785.3107755102,7040.68922448979
2061.61,17.8,84.36,25.88,Oil palm fruit,47,8,Extra Trees,183004,168045.26398848774,14958.736011512257
2302.99,18.22,84.48,26.25,Oil palm fruit,60,21,Extra Trees,162240,167965.44019727892,5725.44019727892
2692.34,18.37,85.54,26.18,Oil palm fruit,61,22,Extra Trees,175629,173868.9297857143,1760.0702142856899
2729.53,18.41,86.03,26.11,Oil palm fruit,65,26,Extra Trees,183544,170476.97242726324,13067.027572736755
2546.33,18.43,84.23,26.49,Oil palm fruit,68,29,Extra Trees,171189,184213.78485714283,13024.784857142833
2938.29,18.22,85.42,26.06,Oil palm fruit,69,30,Extra Trees,185831,178531.80885583465,7299.19114416535
2771.73,18.38,84.98,26.3,Oil palm fruit,70,31,Extra Trees,186959,181468.3254455782,5490.674554421799
2308.51,18.27,83.65,26.47,Oil palm fruit,73,34,Extra Trees,202379,179675.18543537418,22703.81456462582
2592.35,17.61,85.07,25.56,"Rice, paddy",81,3,Extra Trees,25187,27238.35868748712,2051.3586874871216
2061.61,17.8,84.36,25.88,"Rice, paddy",86,8,Extra Trees,26251,27608.52490022676,1357.5249002267592
2302.99,18.22,84.48,26.25,"Rice, paddy",99,21,Extra Trees,32385,30628.734860671084,1756.2651393289161
2692.34,18.37,85.54,26.18,"Rice, paddy",100,22,Extra Trees,33596,32821.22589579468,774.7741042053167
2729.53,18.41,86.03,26.11,"Rice, paddy",104,26,Extra Trees,35277,31877.121412801484,3399.8785871985165
2546.33,18.43,84.23,26.49,"Rice, paddy",107,29,Extra Trees,36361,36415.63653287982,54.63653287982015
2938.29,18.22,85.42,26.06,"Rice, paddy",108,30,Extra Trees,37468,30737.444746880105,6730.5552531198955
2771.73,18.38,84.98,26.3,"Rice, paddy",109,31,Extra Trees,37972,35383.524885590596,2588.4751144094043
2308.51,18.27,83.65,26.47,"Rice, paddy",112,34,Extra Trees,40223,33342.82595961974,6880.174040380261
2592.35,17.61,85.07,25.56,"Rubber, natural",120,3,Extra Trees,9718,9547.777333333333,170.22266666666656
2061.61,17.8,84.36,25.88,"Rubber, natural",125,8,Extra Trees,8604,8622.843452380956,18.84345238095557
2302.99,18.22,84.48,26.25,"Rubber, natural",138,21,Extra Trees,6597,7656.974311791384,1059.974311791384
2692.34,18.37,85.54,26.18,"Rubber, natural",139,22,Extra Trees,7435,8229.862978354977,794.8629783549768
2729.53,18.41,86.03,26.11,"Rubber, natural",143,26,Extra Trees,9612,7362.712859307361,2249.287140692639
2546.33,18.43,84.23,26.49,"Rubber, natural",146,29,Extra Trees,9205,6529.758073593073,2675.2419264069267
2938.29,18.22,85.42,26.06,"Rubber, natural",147,30,Extra Trees,9701,7511.5000656565635,2189.4999343434365
2771.73,18.38,84.98,26.3,"Rubber, natural",148,31,Extra Trees,8865,8023.405470418468,841.5945295815318
2308.51,18.27,83.65,26.47,"Rubber, natural",151,34,Extra Trees,6721,6618.552248299317,102.4477517006826
